	GetHandleVerifier [0x00007FF7C04F0043+3418211]
	GetHandleVerifier [0x00007FF7C027C78B+847787]
	(No symbol) [0x00007FF7C012757F]
	(No symbol) [0x00007FF7C0122FC4]
	(No symbol) [0x00007FF7C012315D]
	(No symbol) [0x00007FF7C0112979]
	BaseThreadInitThunk [0x00007FFF21BF259D+29]
	RtlUserThreadStart [0x00007FFF22CCAF38+40]

2025-01-13 01:10:09,235 - Error processing 56518Bastugay: Message: disconnected: unable to send message to renderer
  (failed to check if window was closed: disconnected: not connected to DevTools)
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF7C04880D5+2992373]
	(No symbol) [0x00007FF7C011BFD0]
	(No symbol) [0x00007FF7BFFB590A]
	(No symbol) [0x00007FF7BFFA28EC]
	(No symbol) [0x00007FF7BFFA285C]
	(No symbol) [0x00007FF7BFFA0F48]
	(No symbol) [0x00007FF7BFFA1CFF]
	(No symbol) [0x00007FF7BFFCA96B]
	(No symbol) [0x00007FF7BFFBEBC0]
	(No symbol) [0x00007FF7BFFBEA62]
	(No symbol) [0x00007FF7C0052759]
	(No symbol) [0x00007FF7C002F36A]
	(No symbol) [0x00007FF7C004F584]
	(No symbol) [0x00007FF7C002F113]
	(No symbol) [0x00007FF7BFFFA918]
	(No symbol) [0x00007FF7BFFFBA81]
	GetHandleVerifier [0x00007FF7C04E6A2D+3379789]
	GetHandleVerifier [0x00007FF7C04FC32D+3468109]
	GetHandleVerifier [0x00007FF7C04F0043+3418211]
	GetHandleVerifier [0x00007FF7C027C78B+847787]
	(No symbol) [0x00007FF7C012757F]
	(No symbol) [0x00007FF7C0122FC4]
	(No symbol) [0x00007FF7C012315D]
	(No symbol) [0x00007FF7C0112979]
	BaseThreadInitThunk [0x00007FFF21BF259D+29]
	RtlUserThreadStart [0x00007FFF22CCAF38+40]

2025-01-13 01:10:09,478 - Error processing 27293Kara: Message: disconnected: Unable to receive message from renderer
  (failed to check if window was closed: disconnected: not connected to DevTools)
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF7C04880D5+2992373]
	(No symbol) [0x00007FF7C011BFD0]
	(No symbol) [0x00007FF7BFFB590A]
	(No symbol) [0x00007FF7BFFA3972]
	(No symbol) [0x00007FF7BFFA363A]
	(No symbol) [0x00007FF7BFFA24F5]
	(No symbol) [0x00007FF7BFFC45EA]
	(No symbol) [0x00007FF7C004F467]
	(No symbol) [0x00007FF7C002F113]
	(No symbol) [0x00007FF7BFFFA918]
	(No symbol) [0x00007FF7BFFFBA81]
	GetHandleVerifier [0x00007FF7C04E6A2D+3379789]
	GetHandleVerifier [0x00007FF7C04FC32D+3468109]
	GetHandleVerifier [0x00007FF7C04F0043+3418211]
	GetHandleVerifier [0x00007FF7C027C78B+847787]
	(No symbol) [0x00007FF7C012757F]
